Date,Open,High,Low,Close,Adj Close,Volume
6/01/2011,22.450001,22.48,21,22.16,15.800831,1183643100
7/01/2011,22.209999,23.389999,22.08,22.33,15.922044,945313300
8/01/2011,22.57,22.690001,19.16,20.129999,14.353368,1552667100
9/01/2011,20.280001,22.98,19.16,21.34,15.364699,1336431600
10/01/2011,21.18,25.200001,20.4,24.540001,17.668682,1523540600
11/01/2011,24.110001,25.5,22.51,24.91,17.935078,1137108100
12/01/2011,24.870001,25.780001,23.049999,24.25,17.614979,987696800
1/01/2012,24.620001,27,24.389999,26.42,19.191244,1119898300
2/01/2012,26.74,27.5,26.35,26.879999,19.525383,782982800
3/01/2012,27.059999,28.450001,26.200001,28.120001,20.589336,726544100
4/01/2012,28.040001,28.780001,27.24,28.4,20.79435,747858300
5/01/2012,28.469999,29.27,24.92,25.84,18.919928,872560200
6/01/2012,25.4,27.75,24.84,26.65,19.654457,789493000
7/01/2012,26.51,26.860001,24.68,25.700001,18.953831,767755500
8/01/2012,25.83,26.9,24.15,24.83,18.312201,753682300
9/01/2012,25.030001,25.1,22.48,22.66,16.858219,933236400
10/01/2012,22.75,23.17,21.219999,21.629999,16.091936,1116041800
11/01/2012,21.76,22.540001,19.23,19.57,14.559368,1158066100
12/01/2012,19.879999,21.309999,19.5,20.620001,15.498607,805637100
1/01/2013,21.15,23.059999,20.879999,21.040001,15.814293,1220335600
2/01/2013,21.190001,21.379999,20.1,20.879999,15.694026,702460600
3/01/2013,20.790001,22.040001,20.66,21.84,16.592024,755792900
4/01/2013,21.67,24,20.75,23.950001,18.195005,1251872500
5/01/2013,23.82,24.709999,23.58,24.280001,18.445705,740062700
6/01/2013,24.879999,25.98,23.41,24.23,18.581123,870588100
7/01/2013,24.35,24.43,22.629999,23.34,17.898623,1016381600
8/01/2013,23.41,23.49,21.889999,21.98,16.85568,648993400
9/01/2013,22.209999,24.09,21.969999,22.92,17.748514,645551600
10/01/2013,22.940001,24.73,22.48,24.469999,18.948788,797993300
11/01/2013,24.51,25.290001,23.5,23.84,18.460934,591599400
12/01/2013,24,26.040001,23.4,25.959999,20.290781,614535900
1/01/2014,25.780001,27.120001,24.4,24.540001,19.180887,834053300
2/01/2014,24.5,24.98,23.5,24.76,19.352844,510845400
3/01/2014,24.549999,26.059999,24.299999,25.809999,20.365917,587134100
4/01/2014,25.799999,27.24,25.639999,26.690001,21.060293,735615600
5/01/2014,26.51,27.32,25.74,27.32,21.557411,491940100
6/01/2014,27.309999,31,27.120001,30.9,24.591787,761349300
7/01/2014,30.99,34.830002,30.440001,33.889999,26.971388,835570200
8/01/2014,33.75,35.200001,32.389999,34.919998,27.791115,593322200
9/01/2014,34.759998,35.560001,33.630001,34.82,27.895863,558097600
10/01/2014,34.610001,34.779999,29.65,34.009998,27.246933,894696800
11/01/2014,33.810001,37.689999,33,37.25,29.842648,562628200
12/01/2014,37.209999,37.900002,35.330002,36.290001,29.264179,600051700
1/01/2015,36.669998,37.490002,33,33.040001,26.643387,689892600
2/01/2015,33.060001,34.75,32.610001,33.25,26.812725,456578100
3/01/2015,33.290001,34.5,29.309999,31.27,25.396925,910690800
4/01/2015,31.129999,33.040001,30.450001,32.549999,26.436523,568144200
5/01/2015,32.630001,34.75,31.93,34.459999,27.987791,498672700
6/01/2015,34.369999,34.59,30.15,30.42,24.885231,701953000
7/01/2015,30.49,30.92,27.620001,28.950001,23.68269,829691000
